smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
Cc1ccc(-c2cc(NC3CCN(C)CC3)c3ccc(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,950,nM,6.022276395,5.17,6,1,448.61,1,53.77,33,CHEMBL4190398,CHEMBL4210955,-8.65,-9.452,-9.1054659
COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1,C1=C(c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)CCOC1,957,nM,6.019088062,4.42,7,1,480.65,0,59.09,35,CHEMBL4130634,CHEMBL4177036,-9.14,-9.699,-9.9305754
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccn(C)n3)nc2cc1OCCCN1CCCC1,c1cc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)n[nH]1,969,nM,6.013676223,4.01,8,1,478.64,0,67.68,35,CHEMBL4130634,CHEMBL4161915,-8.92,-8.884,-9.3501463
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccoc3)nc2cc1OCCCN1CCCC1,c1cc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)co1,978,nM,6.009661145,4.87,7,1,464.61,0,63,34,CHEMBL4130634,CHEMBL4173662,-8.93,-9.025,-9.1502066
COc1cc2c(NC3CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1030,nM,5.987162775,5.25,6,1,421.54,1,59.76,31,CHEMBL4190398,CHEMBL4211622,-8.05,-8.421,-9.0649157
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccccc3)nc2cc1OCCCN1CCCC1,c1ccc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)cc1,1050,nM,5.978810701,5.28,6,1,474.65,1,49.86,35,CHEMBL4130634,CHEMBL4174724,-8.43,-9.046,-9.911191
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(-c4ccccc4)o3)nc2cc1OCCCN1CCCC1,c1ccc(-c2ccc(-c3cc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)o2)cc1,1050,nM,5.978810701,6.54,7,1,540.71,2,63,40,CHEMBL4130634,CHEMBL4166777,-10.12,-10.168,-9.3546152
COc1cc2c(NC3CCN(C)CC3)cc(-c3cc4ccccc4o3)nc2cc1OCCCN1CCCC1,c1ccc2oc(-c3cc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)cc2c1,1070,nM,5.970616222,6.03,7,1,514.67,2,63,38,CHEMBL4130634,CHEMBL4174677,-8.29,-9.808,-9.2235622
CNC(=O)CCNc1cc(-c2ccc(C)o2)nc2cc(OCCCN3CCCC3)c(OC)cc12,c1coc(-c2ccc3ccc(OCCCN4CCCC4)cc3n2)c1,1080,nM,5.966576245,4.22,7,2,466.58,0,88.86,34,CHEMBL4190398,CHEMBL4212375,-9.6,-8.739,-9.2515793
COc1cc2c(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCNCC1,c1cnc(N2CCC(CNc3cc(-c4ccco4)nc4cc(OCC5CCNCC5)ccc34)CC2)nc1,1140,nM,5.943095149,4.43,11,4,601.71,2,146.9,44,CHEMBL4834403,CHEMBL4876993,-9.86,-10.156,-10.155409
